Devices
1000
,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - CoP,,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Force (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,Imported AMTI OR6 Series Force Plate - Moment (Reaction),,,
Frame,Sub Frame,Cx,Cy,Cz,Cx,Cy,Cz,Fx,Fy,Fz,Fx,Fy,Fz,Mx,My,Mz,Mx,My,Mz
,,mm,mm,mm,mm,mm,mm,N,N,N,N,N,N,mm.N,mm.N,mm.N,mm.N,mm.N,mm.N
4,3,292.449,370.728,0,282.38,754.817,0,-5.9679,28.4539,326.935,5.34182,-34.3092,313.731,40778.1,-7012.44,-1598.99,-45862.2,-3570.18,3699.54
4,4,292.459,373.109,0,283.041,754.567,0,-5.48316,28.4479,327.375,6.01738,-34.1458,312.754,41612.4,-7025.22,-1650.02,-45797.6,-3765.81,3642.01
4,5,292.79,369.761,0,283.062,753.983,0,-4.00279,28.5129,327.099,5.3689,-34.2316,312.936,40482.2,-7127.57,-1694.38,-46006.9,-3774.56,3622.98
4,6,292.472,370.667,0,283.104,756.303,0,-5.56762,28.5817,327.368,5.4935,-34.273,314.069,40811.8,-7029.29,-1683.68,-45445,-3801.38,3616.57
4,7,292.772,370.819,0,283.06,754.625,0,-5.18463,28.3411,326.581,5.20944,-34.3269,313.202,40763.4,-7110.2,-1684.5,-45845.1,-3777.28,3668.31
4,8,292.361,371.216,0,282.913,754.501,0,-5.76664,28.6336,326.407,5.56802,-34.3967,313.553,40871.6,-6972.28,-1683.06,-45935.3,-3735.38,3721.41
4,9,292.564,370.94,0,282.913,753.983,0,-5.72219,28.7619,327.018,5.34798,-34.0519,312.675,40857.5,-7051.81,-1714.81,-45968.6,-3724.95,3663.71
5,0,290.615,370.813,0,282.502,754.824,0,-5.68866,28.789,326.749,5.07226,-34.3062,313.553,40782.4,-6409.3,-1683.85,-45834,-3606.53,3610.25
5,1,292.604,370.188,0,282.888,754.445,0,-5.77063,28.7262,328.674,5.30062,-34.0339,313.198,40817.5,-7100.73,-1800.03,-45900.8,-3723.26,3628.25
5,2,292.639,371.132,0,283.111,754.174,0,-4.13775,28.6955,326.49,5.21309,-33.9846,312.672,40854.3,-7064.86,-1692.69,-45908.4,-3786.87,3619.37
